Material,Sector,Gross_Export,Pais
Parts of railway locomotives,Vehicles,43939569,Canadá
Railway track fixtures,Vehicles,196498,Canadá
Containers for multimodal transportation,Vehicles,32597,Canadá
Tractors,Vehicles,882755552,Canadá
Buses,Vehicles,2080505,Canadá
Cars,Vehicles,2996751281,Canadá
Motor vehicles for transporting goods,Vehicles,1717345823,Canadá
Special purpose motor vehicles,Vehicles,13488372,Canadá
Vehicle chassis fitted with engines,Vehicles,266628,Canadá
Vehicle Bodies,Vehicles,7995342,Canadá
Parts of motor vehicles,Vehicles,1760752316,Canadá
Work trucks,Vehicles,712354,Canadá
Tanks and other armored fighting vehicles,Vehicles,19685,Canadá
Motorcycles,Vehicles,2831839,Canadá
Bicycles,Vehicles,1724,Canadá
Wheelchairs,Vehicles,3931302,Canadá
Parts of motorcycles or wheelchairs,Vehicles,4011988,Canadá
Trailers and semi-trailers,Vehicles,68340555,Canadá
Other aircraft and spacecraft,Vehicles,2895008,Canadá
Parts of other aircraft,Vehicles,316524256,Canadá
Parachutes,Vehicles,34234,Canadá
Aircraft launching gear,Vehicles,222741,Canadá
Pleasure or sport boats,Vehicles,53170965,Canadá
Other floating structures,Vehicles,71781,Canadá
Optical fibers,Machinery,10538988,Canadá
Lenses and other optical elements,Machinery,552485,Canadá
Frames for spectacles_ goggles,Machinery,91643,Canadá
Glasses,Machinery,839342,Canadá
Binoculars and telescopes,Machinery,82905,Canadá
Photographic cameras,Machinery,239417,Canadá
Cinematographic cameras and projectors,Machinery,19136,Canadá
Electrostatic photo-copyers,Machinery,32000504,Canadá
Apparatus and equipment for photographic laboratories_ n.e.c.,Machinery,6705,Canadá
Optical microscopes,Machinery,12983,Canadá
Microscopes_ other than optical,Machinery,15940,Canadá
Liquid crystal devices,Machinery,7975507,Canadá
Navigational instruments,Machinery,11860362,Canadá
Surveying instruments,Machinery,3276427,Canadá
Balances of a sensitivity < 50 milligram,Machinery,5847,Canadá
Drafting tables and machines,Machinery,533840,Canadá
Medical instruments,Machinery,233742568,Canadá
Therapy applicances,Machinery,36939891,Canadá
Other breathing appliances and gas masks,Machinery,3319607,Canadá
Orthopedic appliances,Machinery,119033674,Canadá
X-ray machines,Machinery,5017509,Canadá
Instruments designed for demonstrational purposes,Machinery,555262,Canadá
Machines for testing the mechanical properties of materials,Machinery,135481,Canadá
Thermometers_ hydrometers etc.,Machinery,10104272,Canadá
Instruments for measuring properties of liquids or gases,Machinery,55101644,Canadá
Instruments for physical or chemical analysis,Machinery,13740433,Canadá
Gas_ liquid or electricity meters,Machinery,34061024,Canadá
Meters,Machinery,105612044,Canadá
Instruments for measuring electricity,Machinery,9137026,Canadá
Measuring instruments,Machinery,34736557,Canadá
Automatic regulating instruments,Machinery,70026385,Canadá
Other parts for machines and appliances,Machinery,636156,Canadá
Watches with precious metal,Machinery,3395,Canadá
Watches,Machinery,27587,Canadá
Instrument panel clocks for vehicles,Machinery,12041,Canadá
Other clocks,Machinery,189453,Canadá
Apparatus for measuring intervals of time,Machinery,302330,Canadá
Time switches,Machinery,2190256,Canadá
Clock cases,Machinery,81049,Canadá
Other clock or watch parts,Machinery,10076,Canadá
Musical instruments_ string,Machinery,4684434,Canadá
Musical instruments_ percussion,Machinery,17012,Canadá
Musical instruments_ electric,Machinery,3433915,Canadá
Other musical instruments_ n.e.c.,Machinery,1238,Canadá
Parts of musical instruments,Machinery,407890,Canadá
Other firearms,Machinery,78707,Canadá
Other arms (air guns_ truncheons_ etc.),Machinery,3439,Canadá
Parts of military weapons,Machinery,55062,Canadá
Munitions of war,Machinery,162997,Canadá
Seats,Textiles,639857794,Canadá
Medical_ dental or veterinary furniture,Textiles,13472986,Canadá
Other furniture and parts,Textiles,48660597,Canadá
Mattresses and bedding,Textiles,36211868,Canadá
Lamps,Textiles,142411894,Canadá
Prefabricated buildings,Textiles,140137,Canadá
Toys,Machinery,129918120,Canadá
Games,Machinery,9565940,Canadá
Christmas and other festivity articles,Machinery,1713616,Canadá
Sports equipment,Machinery,6612152,Canadá
Fishing and hunting equipment,Machinery,675181,Canadá
Fairground amusements,Machinery,100999,Canadá
Worked animal carving material,Machinery,24885,Canadá
Worked vegetable or mineral carving material,Machinery,2625521,Canadá
Brooms and mops,Machinery,8630927,Canadá
Buttons,Machinery,64802,Canadá
Slide fasteners,Machinery,58306,Canadá
Pens,Machinery,6485720,Canadá
Pencils_ crayons_ pastels_ etc.,Machinery,1811679,Canadá
Slates and boards_ with writing or drawing surfaces,Machinery,13865,Canadá
Hand-operated stamps,Machinery,4060,Canadá
Typewriter ribbons and ink pads,Machinery,139738,Canadá
Cigarette lighters,Machinery,910232,Canadá
Scent sprays,Machinery,256802,Canadá
Vacuum vessels,Machinery,10216,Canadá
Mannequins,Machinery,842259,Canadá
Paintings and drawings,Textiles,134328,Canadá
Original engravings,Textiles,10479,Canadá
Sculptures,Textiles,74138,Canadá
Collectors pieces,Textiles,78407,Canadá
Antiques >100 years,Textiles,27748,Canadá
Commodities not specified according to kind,Other,1135913856,Canadá
Other live animals,Agriculture,126204,China
Beef (frozen),Agriculture,629717,China
Pork,Agriculture,2010023,China
Edible offal,Agriculture,1179879,China
Fish_ excluding fillets,Agriculture,215056,China
Frozen fish_ excluding fillets,Agriculture,5488263,China
Preserved fish,Agriculture,388567,China
Crustaceans,Agriculture,104357234,China
Molluscs,Agriculture,24932799,China
Whey,Agriculture,64158,China
Honey,Agriculture,126567,China
Coral and shells,Agriculture,119058,China
Animal products n.e.c.,Agriculture,258191,China
Other live plants,Agriculture,64847,China
Vegetables_ dried,Agriculture,1100681,China
Other nuts,Agriculture,33861011,China
Avocados_ pineapples_ mangos_ etc.,Agriculture,37269324,China
Other fresh fruit,Agriculture,13357,China
Fruits and nuts_ frozen,Agriculture,2859739,China
Peel of citrus fruit or melons,Agriculture,607071,China
Coffee,Agriculture,112955,China
Spices,Agriculture,3276,China
Cereal flours,Agriculture,765098,China
Flour of dried legumes,Agriculture,1066967,China
Other oil seeds,Agriculture,1977475,China
Seeds used for sowing,Agriculture,1623833,China
Plants used in perfumery_ pharmacy or insecticide,Agriculture,460574,China
Forage products,Agriculture,373679,China
Vegetable saps and extracts,Agriculture,8552883,China
Vegetable products n.e.c.,Agriculture,2679781,China
Fish oils,Agriculture,252729,China
Olive oil,Agriculture,17609,China
Other vegetable fats and oils,Agriculture,651949,China
Vegetable waxes and beeswax,Agriculture,344689,China
Prepared aquatic invertibrates,Agriculture,6032540,China
Other sugars,Agriculture,16435,China
Confectionery sugar,Agriculture,596312,China
Chocolates,Agriculture,1248284,China
Cereal foods,Agriculture,632052,China
Bakery products,Agriculture,482984,China
Pickled fruits and vegetables,Agriculture,340787,China
Tomatoes_ prepared or preserved,Agriculture,5809,China
Other vegetables_ prepared or preserved,Agriculture,69331,China
Jams_ jellies and marmalades,Agriculture,456349,China
Fruits and nuts_ otherwise prepared,Agriculture,1324144,China
Fruit juices,Agriculture,811645,China
Coffee extracts,Agriculture,21666,China
Sauces and seasonings,Agriculture,1167172,China
Food preparations n.e.c.,Agriculture,781418,China
Waters_ flavored or sweetened,Agriculture,428830,China
Beer,Agriculture,193358592,China
Other fermented beverages,Agriculture,8021,China
Spirits < 80% alcohol,Agriculture,4943332,China
Vinegars,Agriculture,38448,China
Flours of fish_ for animal feed,Agriculture,80522896,China
Vegetable materials for animal feeding,Agriculture,111422,China
Animal feed,Agriculture,1528829,China
Salt,Minerals,3904673,China
Clays,Minerals,26843,China
Chalk,Minerals,7548,China
Natural barium sulfate,Minerals,1321,China
Siliceous fossil meals and earths,Minerals,672098,China
Marble,Minerals,5302706,China
Granite,Minerals,26389,China
Natural magnesia,Minerals,803752,China
Feldspar,Minerals,10550425,China
Mineral substances n.e.c.,Minerals,430776,China
Iron ores and concentrates,Minerals,13210651,China
Manganese > 47% by weight,Minerals,5773752,China
Copper ore,Minerals,1511998592,China
Lead ore,Minerals,30292970,China
Zinc ore,Minerals,6481748,China
Molybdenum ore,Minerals,23675392,China
Precious metal ores,Minerals,399838688,China
Other ores,Minerals,68907,China
Petroleum oils_ crude,Minerals,231052736,China
Petroleum oils_ refined,Minerals,44034132,China
Petroleum jelly,Minerals,20537,China
Silicon & rare gases,Chemicals,666441,China
Sodium hydroxide,Chemicals,2770,China
Zinc oxide or peroxide,Chemicals,2190028,China
Metal base oxides_ n.e.c.,Chemicals,151816,China
Chlorides_ bromides_ iodides etc.,Chemicals,6327,China
Phosphates,Chemicals,10181,China
Carbonates,Chemicals,5352640,China
Silicates,Chemicals,84590,China
Salts of oxometallic acids,Chemicals,4392,China
Other salts of acids,Chemicals,6256,China
Cyclic hydrocarbons,Chemicals,2494,China
Acyclic alcohols,Chemicals,904552,China
Cyclic alcohols,Chemicals,230821,China
Derivatives of phenols,Chemicals,13563,China
Ethers,Chemicals,79475,China
Acetals and hemiacetals,Chemicals,131855,China
Aldehydes,Chemicals,1372023,China
Ketones and quinones,Chemicals,3592083,China
Saturated acyclic monocarboxylic acids,Chemicals,2033475,China
Unsaturated acyclic monocarboxylic acids,Chemicals,18502,China
Polycarboxylic acids,Chemicals,25347,China
Carboxylic acids with additional oxygen function,Chemicals,238714,China
Esters of other inorganic acids of nonmetals,Chemicals,1278110,China
Amine-function compounds,Chemicals,341701,China
Oxygen-function amino-compounds,Chemicals,3949645,China
Nitrile-function compounds,Chemicals,666878,China
Organix derivatives of hydrazine,Chemicals,63056,China
Heterocyclic compounds with oxygen hetero-atom(s) only,Chemicals,762521,China
Heterocyclic compounds with nitrogen hetero-atom(s) only,Chemicals,21840232,China
Nucleic acids and their salts,Chemicals,2630635,China
Hormones,Chemicals,5888,China
Medicaments_ packaged,Chemicals,6526038,China
Wadding_ gauze and bandages,Chemicals,2652985,China
Pharmaceutical goods,Chemicals,4989299,China
Mixed fertilizers,Chemicals,161926,China
Synthetic tanning substances,Chemicals,886876,China
Synthetic organic coloring matter,Chemicals,10883845,China
Color lakes,Chemicals,88501,China
Other coloring matter,Chemicals,48302944,China
Prepared pigments,Chemicals,211601,China
Paints and varnishes_ nonaqueous,Chemicals,159980,China
Paints and varnishes_ aqueous,Chemicals,586082,China
Pigments_ nonaqueous,Chemicals,194387,China
Glaziers' putty,Chemicals,45918,China
Ink,Chemicals,455819,China
Essential oils,Chemicals,1715028,China
Mixtures of odoriferous subtances,Chemicals,260248,China
Make-up preparations,Chemicals,360441,China
Hair products,Chemicals,1720406,China
Dental hygiene products,Chemicals,1857840,China
Toiletries,Chemicals,365872,China
Soap,Chemicals,23821,China
Cleaning products,Chemicals,175501,China
Lubricants,Chemicals,250680,China
Artificial and prepared waxes,Chemicals,470255,China
Polishes and creams,Chemicals,34866,China
Modeling pastes,Chemicals,3009,China
Peptones,Chemicals,188815,China
Dextrins and other modified starches,Chemicals,403622,China
Glues and adhesives,Chemicals,995498,China
Enzymes,Chemicals,19038,China
Propellant powders,Chemicals,4999,China
Detonators,Chemicals,1872839,China
Motion-picture film,Chemicals,2365,China
Chemical preparations for photographic uses,Chemicals,10527671,China
Artificial graphite,Chemicals,736864,China
Activated carbon,Chemicals,1160545,China
Rosin and resin acids,Chemicals,1124023,China
Insecticides_ rodenticides_ fungicides_ etc.,Chemicals,1694468,China
Finishing agents,Chemicals,3668386,China
Pickling preparations for metal surfaces,Chemicals,545769,China
Anti-knock,Chemicals,1706582,China
Stabilizers for rubber or plastic,Chemicals,589805,China
Preparations for fire extinguishers,Chemicals,33543,China
Organic composite solvents and thinners,Chemicals,442228,China
Catalytic preparations,Chemicals,9398,China
Refractory cements,Chemicals,45715,China
Prepared culture media for micro-organisms,Chemicals,21688,China
Diagnostic or laboratory reagents,Chemicals,12925,China
Industrial monocarboxylic fatty acids,Chemicals,5963096,China
Polymers of ethylene,Chemicals,55944814,China
Polymers of propylene,Chemicals,1803169,China
Polymers of styrene,Chemicals,14071214,China
Polymers of vinyl chloride,Chemicals,3222204,China
Acrylic polymers,Chemicals,466104,China
Polyacetals,Chemicals,3743182,China
Polyamides,Chemicals,482423,China
Amino-resins,Chemicals,2288225,China
Silicones in primary forms,Chemicals,5734,China
Petroleum resins,Chemicals,124641,China
Cellulose n.e.c.,Chemicals,46189600,China
Plastic waste,Chemicals,57786,China
Monofilament,Chemicals,25138,China
Plastic tubes and fittings,Chemicals,7131431,China
Plastic floor coverings,Chemicals,216131,China
Self-adhesive plastic sheets,Chemicals,1881301,China
Other plates of plastics_ noncellular and not reinforced,Chemicals,13994551,China
Other plastic plates_ sheets etc.,Chemicals,3745493,China
Baths_ sinks etc.,Chemicals,149996,China
Packing lids,Chemicals,2483951,China
Plastic household articles,Chemicals,217472,China
Plastic builders' ware,Chemicals,11059,China
Other articles of plastic,Chemicals,44385153,China
Natural rubber,Chemicals,8388,China
Synthetic rubber,Chemicals,12532183,China
Reclaimed rubber,Chemicals,62996,China
Compounded rubber,Chemicals,45872,China
Unvulcanized rubber rods,Chemicals,9150,China
Vulcanized rubber plates,Chemicals,352397,China
Vulcanized rubber tubes,Chemicals,15575138,China
Conveyor belts of vulcanized rubber,Chemicals,1565387,China
New pneumatic tires of rubber,Chemicals,14348842,China
Rubber inner tubes,Chemicals,1633,China
Vulcanized rubber articles of apparel,Chemicals,83096,China
Other articles of vulcanized rubber,Chemicals,25341363,China
Hard rubber,Chemicals,51415,China
Other raw hides and skins,Agriculture,228093,China
Tanned hides of bovines or equines,Agriculture,86918725,China
Tanned sheepskins,Agriculture,31981,China
Tanned skins of other animals,Agriculture,11140,China
Bovine leather further prepared,Agriculture,82945,China
Chamois leather,Agriculture,687804,China
Composition leather,Agriculture,145516,China
Trunks or cases,Agriculture,824596,China
Leather apparel,Agriculture,64431,China
Other articles of leather,Agriculture,661359,China
Wood in the rough,Agriculture,12233257,China
Wood sawn lengthwise,Agriculture,91621,China
Packing boxes,Agriculture,524743,China
Basketwork,Agriculture,1105,China
Pulps of recovered paper fibers,Agriculture,143041,China
Paper waste,Agriculture,14653552,China
Tissue,Agriculture,1452656,China
Uncoated kraft paper and paperboard,Agriculture,7164,China
Other uncoated paper and paperboard,Agriculture,35100,China
Cellulose wadding_ coated,Agriculture,294608,China
Filter blocks of paper pulp,Agriculture,32487,China
Toilet paper,Agriculture,332709,China
Cardboard packing containers,Agriculture,146877,China
Notebooks,Agriculture,2848,China
Paper labels,Agriculture,258778,China
Bobbins_ spools_ cops of paper,Agriculture,7957,China
Other paper cut to size,Agriculture,347631,China
Books_ brochures etc.,Agriculture,42299,China
Unused stamps,Agriculture,890770,China
Transfers (decalcomanias),Agriculture,83622,China
Other printed matter,Agriculture,131407,China
Woven silk fabrics,Textiles,3998,China
Woven fabrics of carded wool,Textiles,1202,China
Woven fabrics of combed wool,Textiles,438076,China
Raw cotton,Textiles,27791242,China
Woven fabrics of cotton of < 85% weighing > 200 g/m2,Textiles,167796,China
Woven fabrics of cotton of < 85% weighing > 200 g/m2,Textiles,105977,China
Other woven cotton fabrics,Textiles,40732,China
Vegetable textile fibers,Textiles,309027,China
Woven fabrics of flax,Textiles,214483,China
Synthetic sowing thread,Textiles,548971,China
Synthetic filament yarn,Textiles,121150,China
Synthetic monofilament >67 dtex_ thickness < 1mm,Textiles,605357,China
Woven fabrics of synthetic filament yarn,Textiles,83004,China
Synthetic filament tow,Textiles,4454491,China
Synthetic staple fibers,Textiles,2827649,China
Waste of man-made fibers,Textiles,17576,China
Synthetic staple fibers_ processed,Textiles,333548,China
Yarn of synthetic staple fibers_ not for retail sale,Textiles,41067,China
Woven fabrics of > 85% synthetic staple fibers,Textiles,10401479,China
Other woven fabrics of synthetic staple fibers,Textiles,100668,China
Felt,Textiles,46240,China
Nonwoven textiles,Textiles,610318,China
Rubber textiles,Textiles,17458,China
Twine and ropes of baste fibers,Textiles,225630,China
Nets,Textiles,233764,China
Articles of yarn_ rope etc not elsewhere clasified,Textiles,15914,China
Carpets_ knotted,Textiles,8401,China
Woven carpets and rugs,Textiles,1751,China
Carpets_ tufted,Textiles,11328,China
Carpets of felt,Textiles,1505,China
Other carpets,Textiles,11793,China
Woven pile fabrics,Textiles,63748,China
Narrow woven fabrics,Textiles,107273,China
Labels and badges of textiles,Textiles,4330,China
Embroidery in the piece,Textiles,38129,China
Quilted textile products,Textiles,117574,China
Textile fabrics impregnated with plastics,Textiles,1398370,China
Other textile fabrics impregnated_ coated or covered,Textiles,7957,China
Textile hosepiping and similar tubing,Textiles,12015,China
Transmission belts or belting_ of textile material,Textiles,617493,China
Textile articles for technical use,Textiles,485271,China
Other knitted fabrics,Textiles,38813,China
Men's overcoats_ knit,Textiles,9670,China
Women's overcoats_ knit,Textiles,4492,China
Men's suits_ knit,Textiles,302337,China
Women's suits_ knit,Textiles,425338,China
Men's shirts_ knit,Textiles,9601,China
Women's shirts_ knit,Textiles,2930,China
Men's undergarments_ knit,Textiles,8267,China
Women's undergarments_ knit,Textiles,501244,China
T-shirts_ knit,Textiles,2242857,China
Sweaters_ pullovers_ sweatshirts etc._ knit,Textiles,183411,China
Other garments_ knit,Textiles,9504,China
Socks_ stockings_ etc._ knit,Textiles,55469,China
Gloves_ knit,Textiles,300249,China
Other clothing accesories_ knit,Textiles,176245,China
Men's overcoats_ not knit,Textiles,245750,China
Womens overcoats_ not knit,Textiles,55881,China
Men's suits and pants,Textiles,3293839,China
Women's suits and pants,Textiles,1899086,China
Men's shirts,Textiles,11981,China
Women's shirts,Textiles,3138,China
Garments made of textile felts and nonwoven fabric,Textiles,169015,China
Activewear,Textiles,52142,China
Brassieres,Textiles,162247,China
Other clothing accesories,Textiles,16393,China
Blankets,Textiles,12220,China
House linen,Textiles,7954,China
Curtains,Textiles,31176,China
Other furnishing articles,Textiles,19079,China
Tents_ tarpaulins_ etc.,Textiles,1130,China
Other made up articles,Textiles,6075175,China
Needlecraft sets of woven fabric and yarn,Textiles,1255,China
Waterproof footwear,Textiles,23603,China
Other footwear of rubber or plastics,Textiles,13799,China
Leather footwear,Textiles,93123,China
Textile footwear,Textiles,107258,China
Other footwear,Textiles,8368,China
Parts of footwear,Textiles,73566,China
Hats,Textiles,9306,China
Hats_ knit,Textiles,11104,China
Other headgear,Textiles,21159,China
Worked building stone,Stone,68577,China
Grindstones,Stone,762181,China
Natural or artificial abrasive powder,Stone,702172,China
Mineral wools and insulating materials,Stone,641243,China
Plaster articles,Stone,17239,China
Articles of cement_ of concrete or of artificial stone,Stone,2082,China
Asbestos fibres,Stone,1090,China
Friction material and articles thereof,Stone,2259,China
Articles of stone or of other mineral substances,Stone,6617313,China
Bricks_ blocks_ and other ceramic goods,Stone,32364,China
Bricks_ tiles and similar refractory ceramic constructional goods,Stone,385948,China
Other refractory ceramic goods,Stone,354996,China
Ceramic pipes,Stone,31503,China
Unglazed ceramic flags and pavers,Stone,19451,China
Ceramic wares for technical ware,Stone,368774,China
Ceramic sinks_ washbasins_ and similar sanitary fixtures,Stone,294524,China
Ornamental ceramic articles,Stone,4537,China
Other ceramic articles,Stone,19389,China
Glass_ cast or rolled,Stone,5356,China
Safety glass,Stone,1200808,China
Multiple-walled insulating glass,Stone,19864,China
Glass mirrors,Stone,195416,China
Glass containers for conveyance,Stone,17687,China
Glassware for interior decorative use,Stone,2023375,China
Signaling glassware,Stone,1253,China
Laboratory_ hygienic or pharmaceutical glassware,Stone,275189,China
Glass beads,Stone,2316,China
Glass fibers,Stone,1121213,China
Other articles of glass,Stone,367512,China
Precious stones,Stone,1009404,China
Other articles of precious metals,Stone,135229,China
Articles of precious stones,Stone,2141,China
Imitation jewelry,Stone,3869,China
Ferroalloys,Metals,22634,China
Ferrous waste and scrap,Metals,794470,China
Powders of iron or steel,Metals,24318,China
Flat-rolled iron_ width > 600mm_ hot-rolled_ not clad,Metals,31121,China
Flat-rolled iron_ width > 600mm_ cold-rolled_ not clad,Metals,256144,China
Flat rolled iron_ width > 600mm_ clad,Metals,340612,China
Flat-rolled iron_ width < 600mm_ not clad,Metals,336868,China
Flat-rolled iron_ width < 600mm_ clad,Metals,169649,China
Other bars and rods of iron or nonalloy steel,Metals,60356,China
Angles of iron or nonalloy steel,Metals,47819,China
Flat-rolled products of stainless steel of a width > 600 mm,Metals,9116,China
Flat-rolled products of stainless steel of a width < 600 mm,Metals,53934,China
Other bars and rods of stainless steel,Metals,109515,China
Wire of stainless steel,Metals,24599,China
Flat-rolled products of other alloy steel_ width > 600 mm,Metals,326942,China
Flat-rolled products of other alloy steel_ width < 600 mm,Metals,221634,China
Wire of other alloy steel,Metals,7940,China
Tubes_ seamless_ of iron or steel,Metals,2606011,China
Other tubes_ pipes and hollow profiles of iron or steel,Metals,3084259,China
Tube or pipe fittings of iron or steel,Metals,1771518,China
Structures and their parts_ of iron or steel,Metals,40805,China
Tanks etc. < 300 liters_ iron or steel,Metals,30107,China
Wire of iron or steel_ not insulated,Metals,63089,China
Cloth of iron or steel wire,Metals,37382,China
Chain of iron or steel,Metals,30087,China
Nails and similar articles of iron or steel,Metals,2072,China
Screws and similar articles of iron or steel,Metals,4766824,China
Articles for sewing of iron or steel,Metals,36490,China
Springs of iron or steel,Metals,2938514,China
Stoves and similar non-electric appliances of iron or steel,Metals,54977,China
Radiators for central heating of iron or steel,Metals,45275,China
Household articles of iron or steel,Metals,4504,China
Sanitary ware and parts of iron or steel,Metals,703273,China
Other cast articles of iron or steel,Metals,44751,China
Other articles of iron or steel,Metals,7828893,China
Unrefined copper,Metals,38469448,China
Refined copper and copper alloys,Metals,360523038,China
Copper waste and scrap,Metals,213257024,China
Copper powders and flakes,Metals,9326,China
Copper bars_ rods and profiles,Metals,13715,China
Copper wire,Metals,14928,China
Copper plates_ sheets and strip > 0.15 mm,Metals,21204,China
Copper tubes and pipes,Metals,8248,China
Copper tube or pipe fittings,Metals,263081,China
Copper wire_ uninsulated,Metals,24944,China
Screws and similar articles of copper,Metals,331020,China
Household articles of copper,Metals,56365,China
Other articles of copper,Metals,493811,China
Nickel bars_ wire etc.,Metals,223442,China
Nickel tubes and pipes,Metals,11030,China
Other articles of nickel,Metals,2570277,China
Waste or scrap_ aluminium,Metals,11641258,China
Aluminum bars,Metals,29433,China
Aluminum plates > 0.2 mm,Metals,151575,China
Aluminum foil < 0.2 mm,Metals,109128,China
Aluminum tubes and pipes,Metals,14989,China
Aluminum tube or pipe fittings,Metals,83512,China
Aluminum structures (bridges_ towers etc),Metals,17956,China
Aluminum containers_ <300 liters,Metals,1024,China
Household articles of aluminum,Metals,10135,China
Other articles of aluminum,Metals,1733851,China
Lead refined unwrought,Metals,9704960,China
Other articles of lead,Metals,1240,China
Unwrought zinc,Metals,9734528,China
Zinx bars and wire,Metals,48486,China
Zinc plates and foil,Metals,780407,China
Other articles of zinc,Metals,127472,China
Unwrought tin,Metals,7043,China
Tin bars and wire,Metals,6600,China
Other articles of tin,Metals,227212,China
Tungsten (wolfram),Metals,27504,China
Magnesium,Metals,67626,China
Cadmium,Metals,697445,China
Titanium,Metals,2541406,China
Cermets,Metals,65944,China
Handtools for gardening,Metals,3554,China
Handsaws,Metals,78990,China
Pliers_ pincers and other metal handtools,Metals,10220,China
Wrenches,Metals,14603,China
Hand tools n.e.c.,Metals,186572,China
Retail tool sets,Metals,2952,China
Interchangeable tools for hand tools,Metals,6173103,China
Knives and blades for machines,Metals,345785,China
Articles for utensils_ of cermet,Metals,2306654,China
Knife sets,Metals,16474,China
Razors,Metals,2125543,China
Other cutlery,Metals,7784,China
Padlocks and locks,Metals,17881708,China
Base metal mountings_ fittings and similar articles,Metals,4672777,China
Safes,Metals,4601,China
Ornaments_ statuettes_ etc. of metal,Metals,23323,China
Flexible tubing of base metal,Metals,129256,China
Clasps_ buckles etc. of metal,Metals,159530,China
Stoppers_ caps and lids of metal,Metals,41186,China
Sign plates and similar plates of base metal,Metals,5886,China
Wire etc. used for welding,Metals,1511099,China
Steam turbines,Machinery,119100,China
Spark-ignition reciprocating internal combustion piston engines,Machinery,45261999,China
Compression-ignition internal combustion piston engines,Machinery,172192,China
Parts suitable for use with spark-ignition engines,Machinery,63072810,China
Gas turbines,Machinery,17474777,China
Other engines and motors,Machinery,2163715,China
Pumps for liquids,Machinery,44992226,China
Pumps_ compressors_ fans_ etc.,Machinery,17559490,China
Air conditioners,Machinery,6875309,China
Furnace burners,Machinery,82391,China
Industrial furnaces,Machinery,7568,China
Refrigerators_ freezers,Machinery,1822281,China
Equipment for temperature change of materials,Machinery,8865629,China
Centrifuges,Machinery,50709567,China
Dish washing machines,Machinery,437736,China
Weighing machinery,Machinery,33273,China
Sprays and powder dispersers,Machinery,3882679,China
Pulleys and winches,Machinery,7144,China
Fork-lift trucks,Machinery,6584,China
Other lifting machinery,Machinery,1825361,China
Other moving_ excavating or boring machinery,Machinery,177620,China
Parts for use with hoists and excavation machinery,Machinery,3508490,China
Harvesting or agricultural machinery,Machinery,747707,China
Dairy machinery,Machinery,12442,China
Machinery for the industrial preparation of food or drink,Machinery,43311,China
Printers and copiers,Machinery,8191600,China
Auxiliary machinery for use with knitting and textile machines,Machinery,4755,China
Household- or laundry-type washing machines,Machinery,1064750,China
Machinery for processing fabrics,Machinery,214598,China
Machinery for preparing leather,Machinery,5194,China
Metal-rolling mills,Machinery,2890,China
Machines for working materials by laser and similar means,Machinery,55536,China
Machine tools for drilling by removing metal,Machinery,6743,China
Machine tools for molding and forging metals,Machinery,200836,China
Other machine tools for working metal_ without removal,Machinery,65014,China
Machine tools for working wood,Machinery,26466,China
Parts and accessories for metal working machines,Machinery,643410,China
Tools for hand working_ pneumatic_ hydraulic motors,Machinery,48337,China
Machinery for soldering,Machinery,1399603,China
Cash registers_ calculators_ etc.,Machinery,1944,China
Computers,Machinery,112206090,China
Parts and accessories for office machines,Machinery,74036005,China
Machinery for working minerals,Machinery,3552,China
Machines for assembling electric lamps,Machinery,3879,China
Automatic goods-vending machines,Machinery,7689268,China
Machinery for working rubber or plastics,Machinery,548723,China
Machines n.e.c.,Machinery,14353065,China
Molding boxes for metal foundry,Machinery,1455302,China
Appliances for thermostatically controlled valves,Machinery,54759941,China
Ball or roller bearings,Machinery,5257370,China
Transmission shafts,Machinery,12192758,China
Gaskets and similar joints of metal sheeting,Machinery,6208614,China
Machinery parts_ not containing electrical features_ n.e.c.,Machinery,7934122,China
Electric motors and generators,Electronics,48260054,China
Parts for use with electric generators,Electronics,5307459,China
Electrical transformers,Electronics,37950802,China
Electromagnets,Electronics,2503745,China
Primary cells and primary batteries,Electronics,43518,China
Batteries,Electronics,5633069,China
Vacuum cleaners,Electronics,685202,China
Electromechanical domestic appliances,Electronics,1261852,China
Electrical ignition equipment,Electronics,22636319,China
Electrical lighting equipment used for motor vehicles,Electronics,124237622,China
Portable electric lamps,Electronics,1289,China
Industrial electric furnaces,Electronics,203308,China
Electric soldering machines,Electronics,4574414,China
Electric heaters,Electronics,4140805,China
Telephones,Electronics,384712847,China
Microphones,Electronics,87220325,China
Video recording apparatus,Electronics,15769342,China
Parts and accessories for video or sound equipment,Electronics,12837,China
Sound storage media,Electronics,4318857,China
Tapes_ cassettes_ records and compact disks,Electronics,243317,China
Transmission apparatus for radio_ telephone and TV,Electronics,111681664,China
Radar,Electronics,27210275,China
Reception apparatus for radio broadcasting,Electronics,21399545,China
Monitors and projectors,Electronics,9612377,China
Parts of radios_ telephones_ and T.V.s,Electronics,16994375,China
Electric signal and traffic controls,Electronics,23995,China
Electric sound or visual signaling apparatus,Electronics,7094711,China
Electrical capacitors,Electronics,148377066,China
Electrical resistors,Electronics,23415465,China
Electronic printed circuits,Electronics,2127804,China
Electrical apparatus for > 1k volts,Electronics,1461149,China
Electrical apparatus for < 1k volts,Electronics,249889454,China
Electrical boards,Electronics,138456328,China
Parts for electrical apparatus,Electronics,104776250,China
Electrical filament,Electronics,1984839,China
Thermionic_ cold cathode or photocathode tubes,Electronics,67889,China
