Pais,Corredor,Lugar,Genero,Edad,Tiempo
FL,23090,23460,Male,62,423.0166667
GBR,20491,20838,Female,21,321.2333333
VEN,9544,9757,Male,46,254.0666667
MA,7568,7753,Female,33,240.0333333
NY,20973,21325,Male,46,334.2166667
FRA,8784,8986,Male,50,247.2833333
CT,3029,3137,Male,40,214.3666667
GBR,14400,14666,Male,39,275.9166667
NY,19376,19712,Female,23,305.6333333
ITA,17911,18237,Male,52,298.1833333
FRA,1759,1825,Male,36,202.5333333
NY,13335,13591,Female,35,268.2333333
WA,2104,2181,Male,29,205.1833333
IL,19588,19925,Male,29,312.5
FRA,3521,3638,Male,53,218.9666667
PA,3443,3559,Male,44,218.6666667
FRA,20774,21124,Male,46,325.6
NY,17786,18111,Male,54,295.2
NY,15923,16211,Male,41,284.4
VEN,9204,9407,Male,47,251.9666667
NY,10297,10520,Female,40,258.4
GER,8476,8675,Male,42,247.1666667
GBR,21197,21551,Male,37,332.8166667
IL,4329,4458,Female,31,224.8666667
FRA,8416,8615,Male,50,242.2666667
CHI,1702,1766,Male,35,201.4666667
WA,6966,7143,Male,50,239.0833333
VA,18374,18703,Male,40,298.3333333
DC,15515,15795,Male,32,283.7666667
ITA,11573,11810,Male,62,263.2
FIN,19246,19581,Male,46,305.9
ITA,8114,8307,Male,34,244.5666667
NY,15339,15618,Female,30,282.25
NY,969,1004,Male,26,189.8833333
CAN,5161,5304,Male,31,230.1333333
NY,19162,19496,Male,55,310.2
ITA,21070,21422,Male,58,332.6833333
ITA,5892,6051,Female,41,234.3
NED,16603,16905,Male,47,285.2833333
NY,23282,23654,Male,69,508.0833333
GA,17737,18060,Male,33,296.45
MD,4793,4928,Male,54,226.4333333
NC,9378,9586,Male,53,246.85
AZ,22207,22565,Male,50,359.4666667
GER,4318,4447,Male,46,224.4166667
VA,7605,7790,Male,31,241.5666667
SUI,13406,13664,Male,35,266.45
NY,17597,17918,Male,43,291.6166667
TX,6037,6196,Male,32,234.0166667
CA,861,892,Female,30,187.7333333
FRA,21157,21510,Female,56,333.2833333
GBR,20271,20617,Female,21,319.0333333
NY,19547,19884,Male,41,313.3666667
TX,18714,19045,Female,33,305.3
GBR,9778,9991,Male,30,250.8
NY,2222,2303,Male,23,206.5666667
MD,9260,9463,Female,30,250.95
NY,12686,12938,Male,34,264.9833333
TX,16292,16586,Male,39,288.0666667
NY,21799,22154,Female,32,350.7833333
CA,22640,23008,Male,50,379.3
TX,22378,22742,Female,31,363.4666667
NY,3018,3126,Male,40,215.1333333
NOR,9178,9380,Male,48,251.8333333
CT,21467,21822,Male,36,343.6
MEX,7728,7915,Male,34,240.6833333
SD,21586,21941,Male,69,339.05
PER,17523,17844,Male,47,295.5166667
DEN,13894,14156,Female,29,274.2333333
FRA,14366,14632,Female,49,277.7666667
FRA,4367,4496,Male,40,224.8
GER,19024,19356,Male,60,302.4666667
GBR,12549,12800,Male,37,265.7666667
CT,3695,3814,Female,36,220.5833333
ITA,2734,2833,Male,34,212.1666667
MA,7725,7912,Male,30,242.4
NY,10426,10649,Female,33,258.9666667
NY,14628,14897,Male,39,277.55
NY,21569,21924,Male,50,339.9833333
NJ,9373,9581,Male,32,253.3166667
VA,16144,16437,Female,33,287.4666667
NY,20740,21089,Male,42,330.4166667
ESP,4243,4370,Male,48,224.5333333
NJ,8386,8585,Male,61,247.75
ITA,796,827,Male,36,186.3833333
NY,8331,8529,Male,30,245.4
NY,286,298,Male,33,169.6666667
OR,9128,9330,Male,48,249.2
FRA,476,495,Male,46,177.6166667
FRA,11496,11732,Male,51,261.8
NY,21089,21441,Male,52,330.8
NED,4643,4776,Male,36,225.45
NJ,20945,21297,Female,43,328
NY,17339,17658,Male,32,292.8666667
AUT,11719,11959,Female,40,262.95
CAN,15579,15860,Female,34,283.8
SC,19993,20334,Male,22,313.1666667
CAN,13314,13570,Female,30,270.2
NED,16212,16506,Female,33,284.4
VA,13088,13342,Female,22,268.5166667
PER,21900,22255,Female,33,347.6333333
CA,354,367,Male,43,173.3666667
SWE,19880,20218,Female,50,316.5666667
CAN,7823,8010,Female,41,244.45
NY,12431,12682,Male,31,266.1
ARG,2660,2757,Male,33,211.7
SUI,1162,1207,Male,40,193.2
NJ,21405,21759,Male,30,337.9666667
PA,17216,17530,Male,52,290.45
NY,3917,4041,Male,39,221.35
ITA,7275,7458,Male,33,237.45
WA,18421,18750,Female,50,296.9166667
NY,4628,4760,Male,33,225.7
GER,15268,15546,Male,48,282.1
NY,3520,3637,Female,31,219.4333333
NY,18272,18601,Male,42,299.9
SUI,3580,3698,Male,40,218.2333333
FRA,20388,20735,Female,44,321.4166667
NOR,429,446,Male,55,176.2333333
NY,20903,21255,Female,27,332.2
NY,23290,23662,Female,69,566.7833333
GBR,17011,17320,Male,30,291.1666667
NY,16928,17235,Male,42,291.2166667
GBR,21153,21506,Male,50,332.3
NY,9239,9442,Male,56,252.5333333
NJ,18143,18472,Female,40,294.0166667
SWE,323,335,Male,32,171.5666667
NY,19266,19602,Male,52,311.4833333
NJ,21561,21916,Female,30,340.4166667
NJ,4193,4320,Male,44,224.3
NY,9493,9704,Male,35,252.3
NY,10649,10874,Male,31,256.9833333
ID,9640,9853,Male,72,254.8333333
NY,12099,12343,Male,34,265.0166667
GBR,6038,6197,Male,58,234.3166667
MI,652,676,Male,41,182.7
CAN,22198,22556,Female,50,359.8666667
NY,8123,8317,Male,31,245.2833333
NY,3915,4039,Male,30,221.6833333
FRA,7508,7693,Male,57,240.4666667
NED,17691,18014,Male,35,294.9166667
VT,9099,9301,Male,22,250.7166667
NJ,15155,15429,Male,48,280.3666667
NJ,19359,19695,Female,51,312.2166667
GBR,15255,15533,Male,44,279.0333333
ITA,11440,11675,Male,63,262.1166667
SWE,20847,21199,Male,71,331.1333333
GBR,22258,22616,Male,24,361.6666667
PER,5051,5189,Female,41,228.9666667
NY,7377,7561,Male,40,239.1333333
NY,11891,12132,Male,33,265.3
CT,15619,15901,Female,23,282.7666667
CA,21012,21364,Male,31,332.6833333
NY,10535,10760,Male,43,258.5
NY,17870,18195,Male,32,298.3166667
NY,3713,3832,Male,42,220.3
NY,21246,21600,Female,33,332.3833333
PA,14214,14480,Female,36,277.3833333
GBR,19890,20228,Male,29,316.7666667
CA,7025,7205,Female,30,239.4833333
NY,19525,19862,Female,46,313.75
NJ,10442,10665,Male,22,256.2666667
COL,2418,2509,Male,22,207.5
ME,17943,18270,Male,31,299.3
NY,14860,15133,Female,23,275.0333333
NJ,2346,2433,Male,44,208.1666667
NY,15163,15439,Female,24,280.1
FRA,6842,7017,Male,40,237.8666667
CA,8844,9046,Male,33,248.5166667
NY,1234,1281,Female,35,194.95
ITA,4070,4197,Male,46,222.7833333
NOR,10971,11200,Male,50,260.8333333
NY,3817,3939,Male,45,220.5166667
FRA,6619,6791,Male,50,236.7666667
NY,6591,6761,Female,33,236.0833333
MA,3228,3340,Male,32,214.7
NY,14754,15026,Male,30,278.3333333
VA,8712,8914,Male,34,248.4
NJ,2563,2658,Male,33,208.75
CA,13597,13856,Male,40,272.3833333
MN,1136,1180,Female,36,193.3166667
CT,20739,21088,Male,21,329.25
CT,5894,6053,Female,43,234.3166667
NY,2553,2648,Male,27,209.5666667
WI,17636,17958,Male,49,290.9333333
PA,21323,21677,Male,22,338.8166667
SC,14862,15135,Female,21,275.0333333
PHI,7396,7580,Male,44,240.1
BRA,13294,13550,Male,56,273.0666667
CT,22351,22712,Female,49,365.5666667
GBR,14880,15153,Male,31,279.0833333
CA,21052,21404,Male,50,329.8166667
GBR,7518,7703,Male,37,241.8166667
NY,17371,17691,Male,31,293.9666667
NJ,2077,2154,Male,28,206.25
NED,8917,9119,Male,53,249.6833333
MD,2919,3021,Male,27,213.05
CO,17687,18010,Female,32,296.2833333
CAN,18412,18741,Female,30,301.4666667
GBR,2685,2782,Male,40,209.95
CT,16031,16320,Male,33,287
NED,17697,18020,Male,35,295.4166667
FRA,1741,1806,Male,46,201.75
GBR,7932,8124,Male,26,243.4666667
NY,8738,8940,Male,32,247.3833333
MEX,4092,4219,Male,37,222.95
NED,2997,3105,Male,29,214.8666667
NY,17261,17577,Female,51,291.6166667
CT,3538,3655,Male,23,217.4333333
CAN,7446,7631,Male,35,235.1166667
GBR,15198,15475,Male,42,275.7833333
MD,15263,15541,Male,43,281.2166667
NY,11449,11684,Male,22,261.9
CT,16583,16883,Female,23,289.6666667
GER,18423,18752,Female,33,301.4166667
TX,11647,11885,Female,29,264.3333333
GBR,22184,22542,Male,23,355.8666667
GBR,10478,10702,Male,47,256.15
NY,15091,15365,Female,41,280.8833333
VA,10921,11149,Female,21,259.0666667
NY,16165,16458,Female,35,287.8833333
NY,14539,14805,Male,30,272.1666667
NY,11974,12218,Female,31,264.0833333
FRA,5807,5964,Male,42,232.6333333
NY,12719,12971,Female,31,268.4
GBR,6685,6857,Male,46,237
DC,7788,7975,Male,30,243.2
NY,17527,17848,Female,43,294.1166667
MA,15668,15951,Male,33,283.7833333
NY,13080,13334,Male,56,270.6333333
FL,19109,19442,Female,34,308.2666667
ITA,3941,4065,Male,43,222.2
GBR,3628,3746,Male,37,219.9333333
NY,11026,11255,Male,32,260.4833333
ITA,5713,5865,Male,49,233.5666667
NY,17644,17966,Male,32,293.0666667
GBR,21258,21612,Male,34,333.3666667
ITA,17577,17898,Male,63,295.2666667
SUR,16512,16810,Male,40,289.0666667
VEN,17666,17988,Female,34,291.7
NY,3424,3540,Male,53,218.7833333
LA,16902,17208,Male,37,290.7
MA,4561,4693,Male,51,226.55
GBR,22283,22642,Female,20,361.85
GBR,13565,13824,Female,38,272.05
NJ,15498,15778,Female,38,285.0666667
ITA,12190,12438,Male,37,266.3833333
ITA,23162,23533,Male,70,440.7666667
GA,6495,6665,Female,22,237.25
NY,1275,1322,Male,53,195.1
CAN,12913,13166,Male,47,270.5
CA,22659,23027,Male,40,379.2166667
ITA,17021,17330,Female,29,288.4833333
NY,17944,18271,Male,53,299.3
VA,20907,21259,Male,33,326.45
FL,16559,16858,Male,41,288.9666667
GBR,7516,7701,Male,40,239.45
IRL,23269,23641,Male,40,491.5666667
NJ,7339,7522,Male,30,241.7166667
NY,3274,3387,Male,41,216.9166667
RSA,4039,4165,Male,40,221.7833333
ITA,4613,4745,Male,28,224.7
NY,20270,20616,Female,31,317.3166667
FRA,3738,3859,Male,43,220.65
FRA,588,611,Male,44,180.7833333
NJ,21808,22163,Female,48,349.1
NY,4681,4814,Male,37,225.3833333
CA,16726,17030,Male,50,291
ITA,3657,3776,Male,50,217.0833333
NY,17428,17749,Male,32,294.2833333
GER,5204,5347,Female,38,230.2833333
FRA,3946,4070,Female,40,222.0333333
CT,20626,20975,Male,44,325
NJ,16790,17094,Male,50,293.05
GBR,18641,18972,Male,50,299.9166667
NY,11155,11386,Female,29,262.2
IL,19395,19731,Male,32,306.6
MN,1013,1053,Female,42,190.9333333
CO,112,116,Male,43,157.5833333
CAN,8280,8478,Male,37,244.95
MA,7546,7731,Female,23,241.5666667
NY,2267,2351,Male,46,208
NJ,13721,13982,Male,51,268.0833333
CO,10735,10961,Male,47,258.1166667
GBR,9848,10062,Male,25,251.8333333
NY,3669,3788,Male,32,220.45
NY,11508,11745,Female,27,261.7
MEX,16579,16879,Female,27,288.7833333
FRA,7478,7663,Female,33,242.5166667
FRA,17675,17997,Male,46,296.3333333
NY,19678,20015,Female,30,314.05
ESP,218,228,Male,33,165.5166667
NY,8616,8817,Male,22,247.9833333
GBR,15612,15894,Male,20,284.0833333
GBR,16614,16916,Female,33,286.5166667
VT,8395,8594,Male,41,246.4333333
NY,14835,15107,Male,38,275.8333333
ITA,19666,20003,Male,57,315.7666667
NY,603,626,Male,33,180.7
ITA,5402,5550,Male,23,231.1333333
NY,22519,22884,Female,30,370.2
MA,5401,5549,Male,31,229.15
FRA,6369,6537,Male,41,235.8833333
NY,11239,11471,Male,31,259.7333333
FL,6249,6414,Male,38,233.7833333
GBR,4495,4627,Male,37,225.0833333
GER,9683,9896,Male,60,249.0333333
GBR,20944,21296,Male,46,331.15
GBR,10695,10920,Male,45,257.05
NY,1805,1872,Male,43,203.3833333
NY,21579,21934,Female,54,339.0666667
CAN,11093,11323,Male,50,258.3333333
NY,11310,11544,Male,31,262.4333333
NC,16447,16741,Female,42,288.5666667
IL,12820,13073,Male,42,267.6166667
ITA,3232,3344,Male,39,216.5166667
VEN,674,699,Male,31,183.1166667
TX,17358,17678,Male,40,294.65
AUS,8697,8899,Female,53,249.3833333
GBR,19888,20226,Male,25,316.75
NED,14636,14905,Male,29,275.6166667
FRA,13545,13804,Male,47,271.6333333
NY,2317,2403,Male,31,208.2
NJ,17617,17939,Female,45,293.85
GBR,3455,3571,Male,37,217.15
NJ,675,700,Male,44,183.45
JPN,19982,20323,Male,45,316.85
GA,7696,7882,Male,43,240.35
NY,8777,8979,Male,48,248.3
MEX,9494,9705,Male,26,253.5666667
VA,4340,4469,Male,32,223.3833333
ITA,1147,1192,Male,28,193.4166667
GBR,23057,23427,Male,32,414.9833333
BRA,13736,13997,Male,28,274.2833333
FRA,1630,1689,Male,42,201.05
NY,18324,18653,Male,33,302.3
NY,8686,8888,Female,22,249.3166667
CA,14155,14421,Female,24,275.0666667
CAN,11149,11380,Female,37,255.8166667
PA,8219,8415,Male,37,245.2
MA,8317,8515,Male,23,243.7666667
MO,23035,23405,Female,28,415.1333333
NY,7999,8192,Female,32,243.15
GER,5008,5146,Male,43,225.75
NY,9036,9238,Male,41,248.9
NED,5027,5165,Male,28,228.35
NY,21475,21830,Male,40,343.4833333
FRA,2895,2997,Female,38,213.9166667
NJ,19080,19413,Male,35,305.2333333
FRA,4186,4313,Male,20,224.0166667
FRA,13829,14091,Male,37,271.2833333
NY,15240,15518,Male,31,279.3166667
NY,13072,13326,Male,62,269.05
SWE,4754,4888,Male,44,227.2166667
NY,19802,20140,Male,43,317.85
NY,1647,1710,Male,34,200.9666667
VEN,4742,4876,Male,38,225.8333333
NJ,14059,14324,Female,47,272.5
RSA,17452,17773,Male,28,295.4
GBR,940,975,Male,46,189.3333333
ITA,21601,21956,Male,33,339.6833333
NY,14180,14446,Male,31,276.95
ITA,19396,19732,Male,43,311.5666667
NED,18560,18890,Male,50,303.2166667
OH,19849,20187,Male,52,315.3333333
NED,12976,13230,Male,38,270
NED,2592,2688,Male,40,209.2333333
NY,14727,14999,Female,46,280.9
NY,11369,11603,Male,29,262.9166667
NY,11227,11459,Male,31,261.0666667
NY,7199,7382,Male,24,241.15
NY,4096,4223,Male,39,221.9833333
NY,13254,13510,Male,31,272.6666667
JPN,18740,19071,Male,51,298.9833333
NY,13113,13367,Male,41,271.75
NY,4437,4568,Female,25,225.5833333
NJ,6854,7030,Male,39,237.75
ARG,645,669,Male,34,182.7666667
FRA,3356,3470,Male,50,217.9166667
IL,11994,12238,Male,42,260.3166667
FIN,11384,11618,Male,54,262.5833333
NJ,20466,20813,Female,54,325.3333333
NED,5978,6137,Male,32,233.95
